fid,id,left,top,right,bottom,row_index,col_index,X,elv_cls,KG_cl_1,KG_cl_2,KG_cl_3,KG_c_1_,lnd_cv_,lnd_c__,bm_clss,bm_shr_,IPCC_r_,_count,_sum,layer,path,IPCC_r__count
88,713054,67.5,26.75,67.75,26.5,253,990,144390,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,SAS,2912,2625,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,3119
89,811697,101.75,26,102,25.75,256,1127,175364,800-1500,C,Cw,Cwa,Temperate,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,EAS,1971,1940,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,3547
90,940093,146.25,-33,146.5,-33.25,492,1305,214884,100-400,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EAU,27,27,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,107
91,374840,-50,-19.75,-49.75,-20,439,520,63648,400-800,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,NES,352,126,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,1185
92,492692,-9,37.25,-8.75,37,211,684,70615,0-100,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,MED,1131,1093,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,2067
93,235733,-98.25,17,-98,16.75,292,327,25770,800-1500,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,SCA,58,34,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,148
94,490472,-9.75,52.25,-9.5,52,151,681,70270,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,NEU,278,273,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,651
95,790856,94.5,16.25,94.75,16,295,1098,167837,0-100,A,Am,Am,Tropical,Croplands,Croplands,Mangroves,Mangroves,SEA,591,516,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,882
96,777749,90,53,90.25,52.75,148,1080,164049,400-800,D,Dw,Dwc,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ESB,450,437,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,603
97,633812,40,37.25,40.25,37,211,880,122001,400-800,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WCA,705,595,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,1021
98,285498,-81,-4.25,-80.75,-4.5,377,396,36322,100-400,B,BS,BSh,Arid,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NWS,44,16,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,146
99,592291,25.5,-22.5,25.75,-22.75,450,822,103035,800-1500,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,ESAF,28,21,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,67
100,1007821,169.75,-45,170,-45.25,540,1399,220810,400-800,C,Cf,Cfb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NZ,,,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,21
101,633780,40,45.25,40.25,45,179,880,122024,0-100,C,Cf,Cfa,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EEU,1863,1682,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,2093
102,850802,115.25,-30.25,115.5,-30.5,481,1181,189046,100-400,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SAU,440,423,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,634
103,216199,-105,40.5,-104.75,40.25,198,300,20340,800-1500,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,CNA,1713,1654,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,2047
104,185269,-115.75,33,-115.5,32.75,228,257,12634,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,NCA,81,45,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,179
105,570733,18,-33,18.25,-33.25,492,792,92264,0-100,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WSAF,32,13,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,51
106,847913,114.25,-28,114.5,-28.25,472,1177,187987,100-400,B,BS,BSh,Arid,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,CAU,25,8,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,25
107,259423,-90,34.5,-89.75,34.25,222,360,31406,0-100,C,Cf,Cfa,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ENA,993,992,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,1504
108,734590,75,42.75,75.25,42.5,189,1020,150441,1500-3000,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ECA,45,42,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,76
109,311366,-72,8.75,-71.75,8.5,325,432,43277,0-100,A,Af,Af,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NSA,5,3,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,15
110,308675,-73,-38.5,-72.75,-38.75,514,428,41985,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SWS,36,2,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,80
111,170055,-121,56.5,-120.75,56.25,134,236,9606,400-800,D,Df,Dfb,Continental,Croplands,Croplands,Boreal Forests/Taiga,B. Forests,NWN,489,373,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,502
112,336764,-63.25,-40.75,-63,-41,523,467,53741,0-100,B,BS,BSk,Arid,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,SSA,1,1,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,3
113,507048,-4,48.25,-3.75,48,167,704,73696,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,WCE,3885,3822,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,5271
114,691357,60,51,60.25,50.75,156,960,139277,100-400,D,Df,Dfa,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WSB,1353,1238,C1a positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1a positive.gpkg|layername=C1a positive,2135
115,469741,-17,15,-16.75,14.75,300,652,68228,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAH,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,22
116,602309,29,-7,29.25,-7.25,388,836,108263,1500-3000,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,SEAF,1,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,154
117,328793,-66,-28,-65.75,-28.25,472,456,50896,1500-3000,B,BS,BSk,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SES,5,3,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,1729
118,734640,75,30.25,75.25,30,239,1020,150392,100-400,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,TIB,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,285
119,606553,30.5,12,30.75,11.75,312,842,110416,400-800,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,NEAF,2,2,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,173
120,277471,-83.75,22.5,-83.5,22.25,270,385,34917,0-100,A,Am,Am,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,CAR,2,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,104
121,337400,-63,-19.75,-62.75,-20,439,468,54068,400-800,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAM,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,555
122,469742,-17,14.75,-16.75,14.5,301,652,68227,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,WAF,2,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,57
123,163624,-123.25,44.25,-123,44,183,227,8357,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WNA,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,165
124,892980,130,45.25,130.25,45,179,1240,202656,400-800,D,Dw,Dwb,Continental,Croplands,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,RFE,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,177
125,216160,-105,50.25,-104.75,50,159,300,20379,400-800,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NEN,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,254
126,713054,67.5,26.75,67.75,26.5,253,990,144390,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,SAS,43,2,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,3119
127,811697,101.75,26,102,25.75,256,1127,175364,800-1500,C,Cw,Cwa,Temperate,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,EAS,19,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,3547
128,940093,146.25,-33,146.5,-33.25,492,1305,214884,100-400,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EAU,1,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,107
129,374840,-50,-19.75,-49.75,-20,439,520,63648,400-800,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,NES,1,1,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,1185
130,492692,-9,37.25,-8.75,37,211,684,70615,0-100,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,MED,69,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,2067
131,235733,-98.25,17,-98,16.75,292,327,25770,800-1500,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,SCA,4,1,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,148
132,490472,-9.75,52.25,-9.5,52,151,681,70270,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,NEU,2,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,651
133,790856,94.5,16.25,94.75,16,295,1098,167837,0-100,A,Am,Am,Tropical,Croplands,Croplands,Mangroves,Mangroves,SEA,2,1,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,882
134,777749,90,53,90.25,52.75,148,1080,164049,400-800,D,Dw,Dwc,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ESB,22,2,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,603
135,633812,40,37.25,40.25,37,211,880,122001,400-800,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WCA,11,2,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,1021
136,285498,-81,-4.25,-80.75,-4.5,377,396,36322,100-400,B,BS,BSh,Arid,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NWS,2,1,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,146
137,592291,25.5,-22.5,25.75,-22.75,450,822,103035,800-1500,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,ESAF,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,67
138,1007821,169.75,-45,170,-45.25,540,1399,220810,400-800,C,Cf,Cfb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NZ,,,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,21
139,633780,40,45.25,40.25,45,179,880,122024,0-100,C,Cf,Cfa,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EEU,23,2,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,2093
140,850802,115.25,-30.25,115.5,-30.5,481,1181,189046,100-400,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SAU,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,634
141,216199,-105,40.5,-104.75,40.25,198,300,20340,800-1500,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,CNA,12,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,2047
142,185269,-115.75,33,-115.5,32.75,228,257,12634,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,NCA,1,1,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,179
143,570733,18,-33,18.25,-33.25,492,792,92264,0-100,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WSAF,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,51
144,847913,114.25,-28,114.5,-28.25,472,1177,187987,100-400,B,BS,BSh,Arid,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,CAU,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,25
145,259423,-90,34.5,-89.75,34.25,222,360,31406,0-100,C,Cf,Cfa,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ENA,12,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,1504
146,734590,75,42.75,75.25,42.5,189,1020,150441,1500-3000,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ECA,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,76
147,311366,-72,8.75,-71.75,8.5,325,432,43277,0-100,A,Af,Af,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NSA,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,15
148,308675,-73,-38.5,-72.75,-38.75,514,428,41985,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SWS,2,2,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,80
149,170055,-121,56.5,-120.75,56.25,134,236,9606,400-800,D,Df,Dfb,Continental,Croplands,Croplands,Boreal Forests/Taiga,B. Forests,NWN,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,502
150,336764,-63.25,-40.75,-63,-41,523,467,53741,0-100,B,BS,BSk,Arid,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,SSA,0,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,3
151,507048,-4,48.25,-3.75,48,167,704,73696,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,WCE,57,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,5271
152,691357,60,51,60.25,50.75,156,960,139277,100-400,D,Df,Dfa,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WSB,44,0,C1b negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b negative.gpkg|layername=C1b negative,2135
153,469741,-17,15,-16.75,14.75,300,652,68228,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAH,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,22
154,602309,29,-7,29.25,-7.25,388,836,108263,1500-3000,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,SEAF,1,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,154
155,328793,-66,-28,-65.75,-28.25,472,456,50896,1500-3000,B,BS,BSk,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SES,5,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,1729
156,734640,75,30.25,75.25,30,239,1020,150392,100-400,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,TIB,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,285
157,606553,30.5,12,30.75,11.75,312,842,110416,400-800,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,NEAF,2,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,173
158,277471,-83.75,22.5,-83.5,22.25,270,385,34917,0-100,A,Am,Am,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,CAR,2,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,104
159,337400,-63,-19.75,-62.75,-20,439,468,54068,400-800,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAM,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,555
160,469742,-17,14.75,-16.75,14.5,301,652,68227,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,WAF,2,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,57
161,163624,-123.25,44.25,-123,44,183,227,8357,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WNA,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,165
162,892980,130,45.25,130.25,45,179,1240,202656,400-800,D,Dw,Dwb,Continental,Croplands,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,RFE,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,177
163,216160,-105,50.25,-104.75,50,159,300,20379,400-800,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NEN,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,254
164,713054,67.5,26.75,67.75,26.5,253,990,144390,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,SAS,43,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,3119
165,811697,101.75,26,102,25.75,256,1127,175364,800-1500,C,Cw,Cwa,Temperate,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,EAS,19,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,3547
166,940093,146.25,-33,146.5,-33.25,492,1305,214884,100-400,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EAU,1,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,107
167,374840,-50,-19.75,-49.75,-20,439,520,63648,400-800,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,NES,1,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,1185
168,492692,-9,37.25,-8.75,37,211,684,70615,0-100,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,MED,69,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,2067
169,235733,-98.25,17,-98,16.75,292,327,25770,800-1500,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,SCA,4,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,148
170,490472,-9.75,52.25,-9.5,52,151,681,70270,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,NEU,2,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,651
171,790856,94.5,16.25,94.75,16,295,1098,167837,0-100,A,Am,Am,Tropical,Croplands,Croplands,Mangroves,Mangroves,SEA,2,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,882
172,777749,90,53,90.25,52.75,148,1080,164049,400-800,D,Dw,Dwc,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ESB,22,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,603
173,633812,40,37.25,40.25,37,211,880,122001,400-800,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WCA,11,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,1021
174,285498,-81,-4.25,-80.75,-4.5,377,396,36322,100-400,B,BS,BSh,Arid,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NWS,2,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,146
175,592291,25.5,-22.5,25.75,-22.75,450,822,103035,800-1500,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,ESAF,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,67
176,1007821,169.75,-45,170,-45.25,540,1399,220810,400-800,C,Cf,Cfb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NZ,,,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,21
